,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09
16,,,6.0,2.0,5.0,18.0,13.0,21.0,60.0,47.0,8.0,47.0,47.0,47.0,71.0,67.0,95.0,63.0,34.0,48.0,62.0,45.0,57.0,50.0,37.0,36.0,20.0,20.0,38.0,38.0
17,,,-2.0,-2.0,3.0,3.0,0.0,9.0,15.0,7.0,1.0,8.0,8.0,32.0,43.0,21.0,33.0,41.0,20.0,25.0,44.0,21.0,52.0,52.0,45.0,54.0,9.0,0.0,11.0,11.0
18,,,6.0,2.0,21.0,21.0,0.0,106.0,125.0,47.0,28.0,40.0,40.0,56.0,56.0,24.0,72.0,102.0,71.0,49.0,32.0,25.0,55.0,52.0,35.0,20.0,36.0,29.0,21.0,28.0
19,,,9.0,4.0,13.0,13.0,0.0,34.0,46.0,33.0,21.0,8.0,8.0,68.0,85.0,34.0,40.0,40.0,17.0,0.0,59.0,89.0,68.0,38.0,109.0,132.0,30.0,7.0,91.0,91.0
20,,,4.0,4.0,6.0,6.0,0.0,15.0,20.0,13.0,8.0,0.0,0.0,32.0,43.0,25.0,25.0,20.0,9.0,0.0,40.0,50.0,18.0,8.0,27.0,28.0,7.0,6.0,30.0,30.0
21,,,6.0,5.0,13.0,13.0,0.0,14.0,23.0,18.0,9.0,0.0,0.0,29.0,37.0,28.0,35.0,23.0,13.0,12.0,25.0,39.0,48.0,46.0,57.0,38.0,11.0,11.0,16.0,16.0
22,,,10.0,0.0,0.0,0.0,0.0,14.0,30.0,32.0,16.0,0.0,0.0,44.0,79.0,46.0,26.0,39.0,39.0,30.0,50.0,69.0,60.0,48.0,49.0,34.0,16.0,9.0,24.0,28.0
23,,,13.0,13.0,14.0,14.0,0.0,74.0,88.0,63.0,49.0,61.0,61.0,39.0,116.0,175.0,191.0,94.0,114.0,127.0,41.0,75.0,115.0,188.0,136.0,98.0,94.0,11.0,51.0,60.0
24,,,4.0,4.0,2.0,3.0,1.0,0.0,2.0,5.0,3.0,0.0,0.0,17.0,22.0,14.0,16.0,25.0,38.0,20.0,23.0,28.0,35.0,37.0,29.0,55.0,45.0,12.0,4.0,4.0
25,,,13.0,10.0,5.0,5.0,0.0,44.0,46.0,9.0,7.0,0.0,0.0,55.0,65.0,23.0,21.0,25.0,17.0,30.0,43.0,16.0,14.0,27.0,33.0,26.0,29.0,20.0,36.0,37.0
26,,,3.0,2.0,2.0,6.0,4.0,7.0,10.0,9.0,6.0,4.0,4.0,10.0,15.0,18.0,23.0,18.0,8.0,10.0,23.0,22.0,21.0,17.0,15.0,15.0,7.0,-2.0,13.0,22.0
27,,,4.0,3.0,6.0,12.0,6.0,17.0,27.0,26.0,16.0,11.0,11.0,38.0,53.0,55.0,62.0,70.0,79.0,71.0,40.0,2.0,4.0,5.0,247.0,282.0,67.0,29.0,27.0,28.0
28,,,9.0,8.0,7.0,18.0,11.0,15.0,54.0,45.0,6.0,22.0,22.0,27.0,58.0,84.0,65.0,32.0,20.0,17.0,42.0,48.0,70.0,79.0,49.0,18.0,3.0,2.0,24.0,25.0
29,,,4.0,1.0,0.0,1.0,1.0,2.0,6.0,7.0,3.0,2.0,2.0,3.0,4.0,3.0,5.0,7.0,9.0,11.0,12.0,11.0,8.0,8.0,15.0,12.0,2.0,0.0,13.0,13.0
30,,,8.0,8.0,7.0,22.0,15.0,19.0,30.0,28.0,17.0,19.0,19.0,56.0,80.0,38.0,42.0,46.0,30.0,37.0,34.0,27.0,36.0,31.0,20.0,24.0,26.0,9.0,20.0,20.0
31,,,2.0,2.0,0.0,4.0,4.0,43.0,76.0,55.0,22.0,0.0,0.0,66.0,145.0,105.0,49.0,37.0,16.0,3.0,20.0,40.0,37.0,26.0,17.0,7.0,6.0,6.0,36.0,36.0
32,,,17.0,17.0,0.0,0.0,0.0,26.0,56.0,68.0,38.0,0.0,0.0,55.0,73.0,71.0,95.0,49.0,0.0,-7.0,107.0,174.0,145.0,141.0,63.0,20.0,150.0,130.0,51.0,74.0
33,,,10.0,6.0,8.0,20.0,12.0,2.0,12.0,61.0,51.0,1.0,1.0,22.0,72.0,83.0,68.0,49.0,14.0,11.0,76.0,96.0,157.0,230.0,141.0,59.0,23.0,0.0,96.0,98.0
34,,,14.0,10.0,10.0,10.0,0.0,89.0,106.0,88.0,71.0,25.0,25.0,77.0,117.0,79.0,48.0,81.0,97.0,87.0,88.0,71.0,64.0,68.0,49.0,8.0,13.0,5.0,13.0,13.0
35,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,-1.0,3.0,4.0,1.0,21.0,51.0,58.0,38.0,21.0,11.0,44.0,45.0,23.0,79.0,82.0,44.0,45.0,25.0,23.0,26.0
36,,,16.0,16.0,4.0,4.0,0.0,26.0,40.0,51.0,37.0,13.0,13.0,37.0,64.0,58.0,78.0,81.0,34.0,29.0,56.0,41.0,79.0,93.0,80.0,57.0,36.0,31.0,25.0,30.0
37,,,2.0,1.0,3.0,3.0,0.0,21.0,22.0,12.0,11.0,30.0,30.0,12.0,54.0,46.0,14.0,43.0,33.0,17.0,17.0,28.0,63.0,69.0,34.0,23.0,35.0,12.0,13.0,16.0
38,,,3.0,3.0,6.0,10.0,4.0,12.0,25.0,39.0,26.0,16.0,16.0,40.0,78.0,61.0,74.0,106.0,64.0,21.0,42.0,79.0,111.0,88.0,30.0,36.0,59.0,27.0,6.0,6.0
39,,,21.0,16.0,20.0,20.0,0.0,136.0,136.0,112.0,112.0,42.0,42.0,101.0,154.0,110.0,131.0,124.0,50.0,20.0,99.0,123.0,76.0,73.0,66.0,43.0,18.0,0.0,66.0,66.0
40,,,4.0,4.0,14.0,52.0,38.0,24.0,32.0,27.0,19.0,21.0,21.0,28.0,191.0,216.0,201.0,179.0,105.0,80.0,25.0,84.0,109.0,99.0,55.0,89.0,120.0,31.0,45.0,49.0
41,,,0.0,0.0,3.0,5.0,2.0,2.0,5.0,6.0,3.0,2.0,2.0,17.0,25.0,42.0,45.0,37.0,52.0,31.0,30.0,39.0,25.0,16.0,46.0,75.0,47.0,13.0,21.0,21.0
42,,,-1.0,-1.0,2.0,8.0,6.0,6.0,8.0,16.0,14.0,5.0,5.0,18.0,32.0,23.0,17.0,22.0,14.0,9.0,15.0,6.0,10.0,20.0,36.0,35.0,18.0,9.0,2.0,2.0
43,,,3.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,8.0,2.0,2.0,25.0,33.0,11.0,13.0,10.0,22.0,30.0,15.0,10.0,21.0,36.0,43.0,33.0,13.0,5.0,10.0,10.0
44,,,6.0,2.0,0.0,12.0,12.0,18.0,27.0,19.0,10.0,0.0,0.0,81.0,114.0,68.0,48.0,117.0,114.0,10.0,3.0,72.0,102.0,61.0,97.0,87.0,18.0,0.0,49.0,49.0
45,,,1.0,0.0,0.0,0.0,8.0,13.0,7.0,3.0,1.0,3.0,10.0,26.0,28.0,32.0,23.0,15.0,26.0,19.0,15.0,13.0,30.0,28.0,14.0,19.0,10.0,1.0,23.0,37.0
46,,,0.0,0.0,0.0,0.0,0.0,1.0,7.0,12.0,10.0,14.0,19.0,10.0,17.0,35.0,26.0,23.0,24.0,27.0,34.0,33.0,55.0,50.0,41.0,51.0,38.0,57.0,58.0,59.0
47,,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,0.0,2.0,2.0,0.0,9.0,9.0,4.0,8.0,12.0,8.0,0.0,7.0,7.0,0.0
48,,,0.0,4.0,4.0,0.0,0.0,8.0,10.0,3.0,1.0,0.0,9.0,13.0,9.0,13.0,11.0,12.0,9.0,0.0,18.0,28.0,27.0,37.0,41.0,21.0,0.0,42.0,63.0,21.0
49,,,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,9.0,8.0,3.0,1.0,6.0,5.0,6.0,10.0,11.0,14.0,15.0,10.0,8.0,9.0
50,,,0.0,0.0,0.0,0.0,0.0,4.0,8.0,5.0,20.0,29.0,17.0,9.0,10.0,38.0,45.0,35.0,20.0,29.0,41.0,13.0,55.0,68.0,34.0,36.0,20.0,7.0,15.0,42.0
51,,,0.0,6.0,6.0,0.0,0.0,13.0,14.0,1.0,2.0,6.0,6.0,2.0,3.0,4.0,5.0,10.0,10.0,4.0,2.0,2.0,12.0,15.0,6.0,5.0,5.0,8.0,9.0,4.0
52,,,0.0,2.0,2.0,0.0,0.0,19.0,23.0,9.0,14.0,18.0,10.0,8.0,15.0,20.0,25.0,26.0,21.0,20.0,18.0,11.0,38.0,53.0,43.0,46.0,39.0,22.0,25.0,34.0
53,,,3.0,2.0,2.0,0.0,3.0,16.0,17.0,15.0,11.0,9.0,22.0,23.0,13.0,21.0,37.0,26.0,30.0,36.0,26.0,16.0,11.0,26.0,42.0,37.0,22.0,9.0,11.0,34.0
54,,,10.0,0.0,0.0,0.0,0.0,14.0,14.0,13.0,13.0,0.0,5.0,23.0,37.0,49.0,39.0,9.0,1.0,27.0,35.0,30.0,37.0,27.0,11.0,-2.0,30.0,42.0,29.0,30.0
55,,,2.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,5.0,5.0,7.0,8.0,5.0,11.0,16.0,21.0,21.0,15.0,9.0,25.0,38.0,20.0,12.0,11.0,4.0,3.0,15.0,20.0
56,,,1.0,5.0,5.0,0.0,4.0,5.0,11.0,20.0,19.0,18.0,14.0,15.0,21.0,35.0,51.0,36.0,16.0,25.0,28.0,20.0,38.0,49.0,33.0,34.0,25.0,13.0,39.0,38.0
57,,,0.0,0.0,0.0,0.0,2.0,7.0,8.0,15.0,12.0,0.0,0.0,0.0,6.0,15.0,27.0,18.0,0.0,0.0,15.0,20.0,12.0,12.0,6.0,1.0,16.0,20.0,12.0,13.0
58,,,0.0,4.0,4.0,0.0,5.0,6.0,6.0,28.0,25.0,2.0,1.0,9.0,36.0,56.0,67.0,39.0,0.0,0.0,38.0,38.0,35.0,58.0,31.0,8.0,27.0,34.0,35.0,38.0
59,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,2.0,2.0,12.0,12.0,17.0,24.0,10.0,4.0,9.0,6.0,8.0,18.0,23.0,20.0,10.0,3.0,8.0,17.0
60,,,0.0,1.0,1.0,0.0,0.0,2.0,4.0,6.0,11.0,13.0,6.0,9.0,17.0,11.0,37.0,45.0,16.0,14.0,12.0,3.0,21.0,44.0,49.0,31.0,14.0,9.0,12.0,23.0
61,,,0.0,0.0,0.0,0.0,0.0,10.0,10.0,-2.0,-2.0,0.0,0.0,12.0,35.0,27.0,16.0,18.0,8.0,14.0,17.0,15.0,26.0,35.0,30.0,23.0,12.0,0.0,14.0,28.0
62,,,0.0,12.0,12.0,0.0,1.0,9.0,10.0,11.0,16.0,28.0,26.0,7.0,7.0,28.0,40.0,38.0,21.0,21.0,21.0,0.0,53.0,81.0,46.0,24.0,24.0,21.0,3.0,30.0
63,,,0.0,0.0,0.0,0.0,0.0,8.0,8.0,-2.0,-5.0,-3.0,-3.0,-3.0,10.0,13.0,4.0,1.0,2.0,8.0,6.0,0.0,1.0,1.0,0.0,6.0,7.0,1.0,0.0,6.0
64,,,0.0,3.0,3.0,0.0,1.0,5.0,4.0,6.0,14.0,13.0,10.0,6.0,1.0,1.0,4.0,3.0,9.0,13.0,4.0,4.0,7.0,12.0,9.0,9.0,16.0,7.0,0.0,13.0
65,,,2.0,0.0,0.0,0.0,9.0,10.0,1.0,30.0,30.0,0.0,24.0,31.0,26.0,57.0,57.0,38.0,19.0,30.0,34.0,4.0,123.0,185.0,62.0,70.0,86.0,16.0,28.0,57.0
66,,,1.0,0.0,0.0,0.0,4.0,21.0,21.0,13.0,19.0,17.0,10.0,9.0,10.0,15.0,25.0,35.0,23.0,4.0,7.0,6.0,17.0,20.0,9.0,5.0,0.0,11.0,20.0,13.0
67,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,2.0,9.0,9.0,0.0,9.0,12.0,7.0,10.0,15.0,9.0,1.0,14.0,25.0,18.0,16.0,11.0,1.0,5.0,12.0
68,,,2.0,5.0,5.0,0.0,5.0,9.0,5.0,5.0,12.0,13.0,9.0,6.0,6.0,20.0,24.0,16.0,21.0,15.0,4.0,4.0,5.0,14.0,24.0,16.0,14.0,14.0,6.0,8.0
69,,,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,2.0,-1.0,-1.0,16.0,28.0,26.0,19.0,14.0,19.0,19.0,13.0,10.0,29.0,43.0,55.0,53.0,43.0,34.0,20.0,27.0
70,,,2.0,8.0,8.0,0.0,6.0,13.0,12.0,8.0,13.0,10.0,8.0,20.0,28.0,42.0,45.0,36.0,35.0,26.0,24.0,26.0,32.0,40.0,41.0,40.0,17.0,6.0,15.0,20.0
71,,,0.0,2.0,2.0,0.0,0.0,1.0,4.0,10.0,9.0,11.0,10.0,1.0,10.0,13.0,13.0,14.0,23.0,19.0,9.0,21.0,20.0,16.0,22.0,20.0,8.0,16.0,22.0,16.0
72,,,1.0,8.0,8.0,0.0,6.0,14.0,18.0,28.0,32.0,14.0,37.0,55.0,34.0,48.0,75.0,75.0,48.0,46.0,43.0,13.0,42.0,67.0,51.0,32.0,21.0,15.0,7.0,7.0
73,,,-1.0,-1.0,0.0,0.0,0.0,-3.0,1.0,6.0,4.0,4.0,7.0,5.0,2.0,11.0,17.0,9.0,9.0,9.0,4.0,3.0,15.0,16.0,21.0,30.0,16.0,7.0,9.0,20.0
74,,,0.0,9.0,9.0,0.0,1.0,1.0,4.0,8.0,6.0,7.0,7.0,2.0,4.0,10.0,13.0,15.0,11.0,5.0,11.0,9.0,16.0,21.0,30.0,38.0,18.0,8.0,13.0,24.0
75,,,0.0,4.0,4.0,0.0,0.0,4.0,10.0,10.0,5.0,1.0,6.0,10.0,8.0,6.0,28.0,38.0,17.0,11.0,8.0,3.0,26.0,34.0,20.0,22.0,13.0,3.0,7.0,9.0
76,,,0.0,1.0,1.0,0.0,23.0,54.0,56.0,59.0,44.0,54.0,62.0,34.0,52.0,73.0,64.0,72.0,81.0,51.0,40.0,57.0,114.0,110.0,56.0,63.0,43.0,18.0,53.0,61.0
77,,,0.0,0.0,0.0,0.0,0.0,8.0,14.0,6.0,-4.0,-4.0,6.0,9.0,16.0,16.0,7.0,27.0,43.0,18.0,7.0,14.0,8.0,6.0,3.0,0.0,13.0,20.0,7.0,2.0
78,,,0.0,11.0,11.0,0.0,7.0,8.0,2.0,13.0,27.0,15.0,0.0,43.0,59.0,67.0,112.0,88.0,27.0,71.0,80.0,29.0,67.0,93.0,62.0,59.0,64.0,39.0,48.0,45.0
79,,,0.0,7.0,7.0,0.0,2.0,3.0,3.0,6.0,5.0,6.0,7.0,3.0,5.0,12.0,15.0,15.0,28.0,24.0,4.0,15.0,20.0,11.0,47.0,41.0,26.0,35.0,28.0,24.0
80,,,0.0,0.0,0.0,0.0,0.0,-4.0,-3.0,4.0,10.0,11.0,5.0,4.0,9.0,25.0,37.0,26.0,13.0,15.0,50.0,65.0,41.0,27.0,67.0,56.0,32.0,52.0,39.0,27.0
81,,,1.0,0.0,0.0,0.0,0.0,6.0,18.0,19.0,11.0,10.0,12.0,9.0,15.0,19.0,18.0,23.0,19.0,19.0,19.0,7.0,15.0,25.0,48.0,43.0,6.0,1.0,1.0,9.0
82,,,0.0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,-63.0,-63.0,0.0,0.0,0.0,0.0,28.0,43.0,37.0,33.0,11.0,0.0,0.0,0.0,37.0,37.0,10.0,10.0,4.0,4.0
83,,,0.0,5.0,5.0,0.0,1.0,3.0,2.0,6.0,8.0,3.0,1.0,5.0,8.0,7.0,9.0,9.0,11.0,10.0,15.0,20.0,12.0,9.0,7.0,8.0,10.0,6.0,2.0,5.0
84,,,0.0,1.0,1.0,0.0,2.0,4.0,5.0,3.0,2.0,3.0,1.0,2.0,4.0,6.0,5.0,5.0,6.0,9.0,13.0,6.0,9.0,13.0,12.0,8.0,0.0,0.0,4.0,5.0
85,,,0.0,0.0,0.0,0.0,3.0,5.0,5.0,13.0,21.0,14.0,4.0,16.0,22.0,15.0,17.0,13.0,17.0,27.0,22.0,8.0,22.0,54.0,49.0,32.0,19.0,4.0,18.0,39.0
86,,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,9.0,10.0,13.0,16.0,28.0,42.0,18.0,1.0,12.0,34.0,53.0,63.0,33.0,32.0,35.0,43.0,56.0
87,,,0.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,5.0,6.0,14.0,13.0,2.0,1.0,9.0,13.0,11.0,11.0,9.0,5.0,0.0,4.0
88,,,1.0,0.0,0.0,0.0,1.0,3.0,6.0,10.0,16.0,24.0,22.0,16.0,14.0,20.0,23.0,25.0,41.0,22.0,6.0,31.0,61.0,64.0,42.0,38.0,31.0,22.0,17.0,39.0
89,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,29.0,29.0,5.0,8.0,6.0,5.0,3.0,2.0,5.0,7.0,3.0,5.0,5.0,3.0,9.0
90,,,1.0,2.0,2.0,0.0,1.0,3.0,3.0,5.0,4.0,2.0,3.0,1.0,0.0,4.0,9.0,11.0,6.0,0.0,0.0,0.0,8.0,8.0,12.0,23.0,12.0,1.0,9.0,9.0
91,,,0.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,9.0,9.0,3.0,10.0,9.0,4.0,9.0,17.0,10.0,6.0,6.0,0.0,1.0,8.0,10.0,9.0,8.0,2.0,0.0,3.0
92,,,0.0,0.0,0.0,0.0,1.0,8.0,10.0,4.0,3.0,9.0,7.0,7.0,15.0,14.0,15.0,19.0,10.0,0.0,8.0,12.0,22.0,18.0,8.0,15.0,12.0,8.0,8.0,10.0
93,,,0.0,1.0,1.0,0.0,2.0,11.0,9.0,4.0,10.0,26.0,24.0,7.0,7.0,37.0,54.0,22.0,15.0,25.0,14.0,20.0,25.0,20.0,43.0,42.0,17.0,18.0,30.0,33.0
94,,,0.0,1.0,1.0,0.0,3.0,6.0,8.0,17.0,16.0,8.0,10.0,6.0,4.0,8.0,29.0,26.0,6.0,21.0,21.0,28.0,38.0,26.0,17.0,6.0,8.0,9.0,25.0,40.0
95,,,0.0,1.0,1.0,0.0,6.0,17.0,28.0,38.0,32.0,36.0,41.0,21.0,26.0,39.0,65.0,53.0,25.0,42.0,29.0,26.0,62.0,74.0,52.0,29.0,46.0,43.0,45.0,61.0
96,,,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,2.0,13.0,14.0,5.0,6.0,21.0,27.0,11.0,20.0,20.0,7.0,11.0,24.0,23.0,10.0,14.0,10.0,6.0,11.0,9.0
97,,,1.0,6.0,6.0,0.0,7.0,9.0,4.0,14.0,14.0,14.0,14.0,4.0,16.0,27.0,26.0,20.0,9.0,20.0,26.0,8.0,14.0,39.0,34.0,21.0,14.0,6.0,11.0,13.0
98,,,0.0,4.0,4.0,0.0,0.0,3.0,4.0,4.0,3.0,2.0,3.0,5.0,13.0,17.0,13.0,13.0,14.0,12.0,9.0,12.0,12.0,13.0,15.0,18.0,16.0,3.0,5.0,7.0
99,,,0.0,1.0,1.0,0.0,0.0,2.0,7.0,6.0,6.0,6.0,1.0,3.0,6.0,5.0,1.0,3.0,4.0,0.0,3.0,3.0,2.0,2.0,0.0,9.0,9.0,0.0,0.0,0.0
100,,,1.0,0.0,0.0,0.0,9.0,26.0,32.0,26.0,14.0,50.0,75.0,50.0,35.0,31.0,41.0,49.0,59.0,44.0,26.0,30.0,34.0,47.0,49.0,46.0,29.0,13.0,18.0,17.0
101,,,0.0,2.0,2.0,0.0,2.0,7.0,11.0,10.0,13.0,18.0,19.0,13.0,7.0,10.0,15.0,16.0,17.0,21.0,11.0,23.0,38.0,29.0,14.0,20.0,24.0,10.0,9.0,3.0
102,,,0.0,0.0,0.0,0.0,0.0,5.0,10.0,11.0,10.0,17.0,18.0,8.0,19.0,30.0,20.0,33.0,46.0,41.0,32.0,16.0,34.0,59.0,80.0,49.0,10.0,20.0,30.0,40.0
103,,,3.0,81.0,81.0,0.0,41.0,175.0,134.0,270.0,270.0,0.0,646.0,726.0,80.0,247.0,356.0,275.0,405.0,457.0,381.0,357.0,422.0,395.0,489.0,322.0,153.0,306.0,153.0,0.0
104,,,0.0,18.0,18.0,0.0,34.0,83.0,67.0,72.0,86.0,59.0,47.0,20.0,72.0,132.0,99.0,39.0,101.0,125.0,66.0,71.0,125.0,97.0,104.0,103.0,0.0,40.0,68.0,84.0
105,,,0.0,6.0,6.0,0.0,2.0,9.0,9.0,12.0,17.0,28.0,30.0,9.0,9.0,22.0,13.0,24.0,38.0,18.0,12.0,32.0,53.0,49.0,28.0,24.0,22.0,24.0,42.0,39.0
106,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,20.0,6.0,5.0,12.0,19.0,11.0,11.0,18.0,16.0,14.0,13.0,12.0,17.0,23.0,10.0,0.0,0.0,23.0,42.0
107,,,0.0,3.0,3.0,0.0,0.0,12.0,13.0,1.0,0.0,0.0,0.0,17.0,25.0,8.0,0.0,26.0,37.0,18.0,7.0,0.0,32.0,44.0,19.0,15.0,8.0,0.0,0.0,33.0
108,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,10.0,12.0,5.0,10.0,10.0,11.0,15.0,10.0,6.0,3.0,12.0,18.0,11.0,20.0,23.0,8.0,5.0,8.0
109,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,24.0,27.0,6.0,27.0,39.0,42.0,53.0,53.0,59.0,60.0,55.0,78.0,104.0,83.0,63.0,46.0,15.0,49.0,80.0
110,,,1.0,7.0,7.0,0.0,3.0,12.0,27.0,30.0,18.0,6.0,18.0,32.0,47.0,70.0,52.0,25.0,37.0,36.0,36.0,41.0,46.0,85.0,67.0,14.0,89.0,120.0,78.0,80.0
111,,,0.0,1.0,1.0,0.0,4.0,9.0,12.0,13.0,22.0,24.0,20.0,21.0,22.0,26.0,13.0,49.0,49.0,0.0,30.0,60.0,66.0,46.0,58.0,73.0,25.0,30.0,30.0,45.0
112,,,1.0,0.0,0.0,0.0,19.0,27.0,13.0,12.0,12.0,14.0,9.0,5.0,19.0,14.0,-16.0,-3.0,22.0,13.0,10.0,9.0,10.0,11.0,15.0,11.0,6.0,18.0,16.0,8.0
113,,,0.0,5.0,5.0,0.0,0.0,6.0,6.0,6.0,10.0,16.0,14.0,14.0,38.0,35.0,17.0,29.0,38.0,33.0,23.0,7.0,47.0,102.0,77.0,38.0,32.0,16.0,0.0,34.0
114,,,0.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,8.0,8.0,3.0,5.0,2.0,5.0,17.0,12.0,3.0,7.0,9.0,16.0,22.0,21.0,11.0,1.0,5.0,8.0
115,,,0.0,2.0,2.0,0.0,10.0,14.0,7.0,4.0,3.0,2.0,11.0,13.0,7.0,11.0,21.0,29.0,44.0,30.0,12.0,27.0,53.0,83.0,66.0,44.0,28.0,7.0,10.0,38.0
116,,,1.0,4.0,4.0,0.0,3.0,8.0,9.0,4.0,0.0,0.0,13.0,13.0,8.0,22.0,14.0,20.0,46.0,32.0,15.0,9.0,35.0,53.0,33.0,32.0,25.0,15.0,19.0,28.0
